Partners,Partnership Career Span,Partnership Career Start,Partnership Career End,Number Of Partnerships,Unbroken Partnerships,Total Partnership Runs,Highest Partnership,Avg Partnership Per Dismissal,Century Partnerships,Fifty Runs And Over Partnerships,Country
"ML Nkala, GJ Rennie",2001-2001,2001,2001,1,0,2,2,2.00,0,0,Zimbabwe
"AH Omarshah, HH Streak",1996-1996,1996,1996,1,0,2,2,2.00,0,0,Zimbabwe
"AH Omarshah, CB Wishart",1996-1996,1996,1996,1,0,2,2,2.00,0,0,Zimbabwe
"GA Paterson, AJ Pycroft",1983-1987,1983,1987,2,0,2,1,1.00,0,0,Zimbabwe
"SG Peall, BC Strang",1996-1996,1996,1996,1,0,2,2,2.00,0,0,Zimbabwe
"KJ Arnott, GA Briant",1993-1993,1993,1993,1,1,1,1*,-,0,0,Zimbabwe
"AM Blignaut, H Masakadza",2010-2010,2010,2010,1,0,1,1,1.00,0,0,Zimbabwe
"DH Brain, ADR Campbell",1993-1993,1993,1993,1,0,1,1,1.00,0,0,Zimbabwe
"GA Briant, AH Omarshah",1993-1993,1993,1993,1,0,1,1,1.00,0,0,Zimbabwe
"SV Carlisle, CJ Chibhabha",2005-2005,2005,2005,1,0,1,1,1.00,0,0,Zimbabwe
"TL Chatara, T Muzarabani",2016-2016,2016,2016,1,0,1,1,1.00,0,0,Zimbabwe
"E Chigumbura, MT Chinouya",2013-2013,2013,2013,1,0,1,1,1.00,0,0,Zimbabwe
"E Chigumbura, A Maregwede",2004-2004,2004,2004,1,0,1,1,1.00,0,0,Zimbabwe
"E Chigumbura, W Mwayenga",2004-2004,2004,2004,1,0,1,1,1.00,0,0,Zimbabwe
"TS Chisoro, AG Cremer",2016-2018,2016,2018,3,0,1,1,0.33,0,0,Zimbabwe
"TS Chisoro, T Panyangara",2015-2015,2015,2015,1,1,1,1*,-,0,0,Zimbabwe
"CK Coventry, T Mupariwa",2009-2009,2009,2009,1,0,1,1,1.00,0,0,Zimbabwe
"CK Coventry, V Sibanda",2010-2010,2010,2010,1,0,1,1,1.00,0,0,Zimbabwe
"AG Cremer, WP Masakadza",2015-2015,2015,2015,1,0,1,1,1.00,0,0,Zimbabwe
"AG Cremer, BV Vitori",2018-2018,2018,2018,1,0,1,1,1.00,0,0,Zimbabwe
"MH Dekker, HH Streak",1996-1996,1996,1996,2,0,1,1,0.50,0,0,Zimbabwe
"CR Ervine, KO Meth",2010-2010,2010,2010,1,0,1,1,1.00,0,0,Zimbabwe
"CR Ervine, RW Price",2010-2010,2010,2010,1,0,1,1,1.00,0,0,Zimbabwe
"A Flower, EZ Matambanadzo",1997-1997,1997,1997,1,0,1,1,1.00,0,0,Zimbabwe
"A Flower, BC Strang",2000-2000,2000,2000,1,0,1,1,1.00,0,0,Zimbabwe
"TR Gripper, HH Streak",2001-2001,2001,2001,1,0,1,1,1.00,0,0,Zimbabwe
"DT Hondo, S Matsikenyeri",2003-2003,2003,2003,1,0,1,1,1.00,0,0,Zimbabwe
"TP Kamungozi, P Utseya",2006-2006,2006,2006,1,0,1,1,1.00,0,0,Zimbabwe
"A Maregwede, T Mupariwa",2004-2004,2004,2004,1,0,1,1,1.00,0,0,Zimbabwe
"GC Martin, GJ Whittall",1995-1995,1995,1995,1,0,1,1,1.00,0,0,Zimbabwe
"H Masakadza, TV Mufambisi",2006-2006,2006,2006,1,0,1,1,1.00,0,0,Zimbabwe
"WP Masakadza, J Nyumbu",2015-2015,2015,2015,1,0,1,1,1.00,0,0,Zimbabwe
"KO Meth, MN Waller",2011-2011,2011,2011,1,0,1,1,1.00,0,0,Zimbabwe
"SF Mire, V Sibanda",2014-2014,2014,2014,1,0,1,1,1.00,0,0,Zimbabwe
"CB Mpofu, SC Williams",2008-2008,2008,2008,1,0,1,1,1.00,0,0,Zimbabwe
"TV Mufambisi, V Sibanda",2006-2006,2006,2006,1,0,1,1,1.00,0,0,Zimbabwe
"T Mupariwa, T Taibu",2008-2008,2008,2008,1,0,1,1,1.00,0,0,Zimbabwe
"W Mwayenga, EC Rainsford",2004-2004,2004,2004,1,0,1,1,1.00,0,0,Zimbabwe
"N Ncube, MN Waller",2011-2011,2011,2011,1,1,1,1*,-,0,0,Zimbabwe
"R Ngarava, MN Waller",2017-2017,2017,2017,1,0,1,1,1.00,0,0,Zimbabwe
"AH Omarshah, SG Peall",1993-1993,1993,1993,1,0,1,1,1.00,0,0,Zimbabwe
"AJ Pycroft, AJ Traicos",1987-1987,1987,1987,1,0,1,1,1.00,0,0,Zimbabwe
"GJ Rennie, BC Strang",2001-2001,2001,2001,1,0,1,1,1.00,0,0,Zimbabwe
"BC Strang, DP Viljoen",2000-2000,2000,2000,1,0,1,1,1.00,0,0,Zimbabwe
"AM Blignaut, MW Goodwin",1999-1999,1999,1999,2,0,0,0,0.00,0,0,Zimbabwe
"EA Brandes, SG Peall",1996-1996,1996,1996,1,0,0,0,0.00,0,0,Zimbabwe
"GB Brent, AG Huckle",1998-1998,1998,1998,1,0,0,0,0.00,0,0,Zimbabwe
"GB Brent, DT Mutendera",1999-1999,1999,1999,1,0,0,0,0.00,0,0,Zimbabwe
"RD Brown, DAG Fletcher",1983-1983,1983,1983,1,0,0,0,0.00,0,0,Zimbabwe
"ADR Campbell, GJ Crocker",1992-1992,1992,1992,1,0,0,0,0.00,0,0,Zimbabwe
"ADR Campbell, M Mbangwa",2000-2000,2000,2000,1,1,0,0*,-,0,0,Zimbabwe
"ADR Campbell, BG Rogers",2002-2002,2002,2002,1,0,0,0,0.00,0,0,Zimbabwe
"TL Chatara, SW Masakadza",2013-2013,2013,2013,1,0,0,0,0.00,0,0,Zimbabwe
"TL Chatara, P Utseya",2013-2013,2013,2013,1,1,0,0*,-,0,0,Zimbabwe
"E Chigumbura, RS Higgins",2006-2006,2006,2006,1,0,0,0,0.00,0,0,Zimbabwe
"E Chigumbura, T Muzarabani",2015-2015,2015,2015,1,0,0,0,0.00,0,0,Zimbabwe
"TS Chisoro, N Madziva",2016-2016,2016,2016,1,0,0,0,0.00,0,0,Zimbabwe
"TS Chisoro, B Muzarabani",2018-2018,2018,2018,1,0,0,0,0.00,0,0,Zimbabwe
"AG Cremer, B Muzarabani",2018-2018,2018,2018,1,0,0,0,0.00,0,0,Zimbabwe
"GJ Crocker, AJ Traicos",1992-1992,1992,1992,1,0,0,0,0.00,0,0,Zimbabwe
"CR Ervine, CB Mpofu",2010-2010,2010,2010,1,0,0,0,0.00,0,0,Zimbabwe
"SM Ervine, TJ Friend",2001-2001,2001,2001,1,0,0,0,0.00,0,0,Zimbabwe
"GM Ewing, T Panyangara",2004-2004,2004,2004,1,0,0,0,0.00,0,0,Zimbabwe
"GW Flower, SG Peall",1994-1994,1994,1994,1,0,0,0,0.00,0,0,Zimbabwe
"GW Flower, BC Strang",2000-2000,2000,2000,1,1,0,0*,-,0,0,Zimbabwe
"TJ Friend, BC Strang",2000-2000,2000,2000,2,0,0,0,0.00,0,0,Zimbabwe
"JG Heron, AH Omarshah",1983-1983,1983,1983,1,0,0,0,0.00,0,0,Zimbabwe
"RS Higgins, AJ Ireland",2006-2006,2006,2006,1,0,0,0,0.00,0,0,Zimbabwe
"RS Higgins, GM Strydom",2006-2006,2006,2006,1,0,0,0,0.00,0,0,Zimbabwe
"DT Hondo, RW Price",2004-2004,2004,2004,2,0,0,0,0.00,0,0,Zimbabwe
"DL Houghton, AJ Traicos",1983-1983,1983,1983,1,0,0,0,0.00,0,0,Zimbabwe
"AG Huckle, AR Whittall",1999-1999,1999,1999,1,0,0,0,0.00,0,0,Zimbabwe
"LM Jongwe, T Panyangara",2015-2015,2015,2015,1,0,0,0,0.00,0,0,Zimbabwe
"TP Kamungozi, EC Rainsford",2006-2006,2006,2006,1,0,0,0,0.00,0,0,Zimbabwe
"F Kasteni, V Sibanda",2007-2007,2007,2007,1,0,0,0,0.00,0,0,Zimbabwe
"WP Masakadza, T Panyangara",2015-2015,2015,2015,1,0,0,0,0.00,0,0,Zimbabwe
"S Matsikenyeri, CB Mpofu",2007-2007,2007,2007,1,0,0,0,0.00,0,0,Zimbabwe
"M Mbangwa, HK Olonga",1999-1999,1999,1999,1,0,0,0,0.00,0,0,Zimbabwe
"M Mbangwa, BC Strang",1997-1997,1997,1997,1,0,0,0,0.00,0,0,Zimbabwe
"IA Nicolson, P Utseya",2010-2010,2010,2010,1,0,0,0,0.00,0,0,Zimbabwe
"ML Nkala, V Sibanda",2004-2004,2004,2004,1,0,0,0,0.00,0,0,Zimbabwe
"J Nyumbu, P Utseya",2014-2014,2014,2014,1,0,0,0,0.00,0,0,Zimbabwe
"HK Olonga, JA Rennie",2000-2000,2000,2000,1,0,0,0,0.00,0,0,Zimbabwe
"HK Olonga, GJ Whittall",1999-1999,1999,1999,1,0,0,0,0.00,0,0,Zimbabwe
"T Panyangara, BV Vitori",2013-2013,2013,2013,1,0,0,0,0.00,0,0,Zimbabwe
"T Panyangara, SC Williams",2015-2015,2015,2015,1,0,0,0,0.00,0,0,Zimbabwe
"GJ Rennie, JA Rennie",1996-1999,1996,1999,2,0,0,0,0.00,0,0,Zimbabwe
"V Sibanda, MN Waller",2013-2013,2013,2013,1,0,0,0,0.00,0,0,Zimbabwe
"DT Tiripano, P Utseya",2015-2015,2015,2015,1,0,0,0,0.00,0,0,Zimbabwe
"Mushfiqur Rahim, Shakib Al Hasan",2007-2018,2007,2018,70,4,2408,148,36.48,4,14,Bangladesh
"Imrul Kayes, Tamim Iqbal",2008-2017,2008,2017,61,0,1924,147,31.54,2,10,Bangladesh
"Mahmudullah, Mushfiqur Rahim",2008-2018,2008,2018,47,3,1675,141,38.06,2,14,Bangladesh
"Mushfiqur Rahim, Tamim Iqbal",2007-2018,2007,2018,37,2,1460,178,41.71,4,6,Bangladesh
"Mohammad Ashraful, Tamim Iqbal",2007-2013,2007,2013,41,0,1248,137,30.43,1,6,Bangladesh
"Shakib Al Hasan, Tamim Iqbal",2007-2018,2007,2018,30,1,1194,144,41.17,2,7,Bangladesh
"Mahmudullah, Shakib Al Hasan",2008-2017,2008,2017,32,0,1109,224,34.65,3,5,Bangladesh
"Junaid Siddique, Tamim Iqbal",2007-2011,2007,2011,36,1,991,136,28.31,1,6,Bangladesh
"Soumya Sarkar, Tamim Iqbal",2015-2017,2015,2017,26,0,945,154,36.34,3,3,Bangladesh
"Raqibul Hasan, Shakib Al Hasan",2008-2011,2008,2011,22,2,881,165*,44.05,2,4,Bangladesh
"Aftab Ahmed, Shahriar Nafees",2005-2008,2005,2008,25,1,865,114*,36.04,1,5,Bangladesh
"Anamul Haque, Tamim Iqbal",2012-2018,2012,2018,23,0,763,158,33.17,2,3,Bangladesh
"Mohammad Ashraful, Shakib Al Hasan",2006-2011,2006,2011,29,3,716,116,27.53,1,4,Bangladesh
"Habibul Bashar, Rajin Saleh",2003-2006,2003,2006,13,1,706,175*,58.83,2,2,Bangladesh
"Mahmudullah, Tamim Iqbal",2007-2018,2007,2018,17,1,694,139,43.37,1,6,Bangladesh
"Habibul Bashar, Mohammad Ashraful",2001-2007,2001,2007,30,1,650,130,22.41,1,4,Bangladesh
"Nasir Hossain, Shakib Al Hasan",2011-2015,2011,2015,16,0,622,106,38.87,1,4,Bangladesh
"Mushfiqur Rahim, Naeem Islam",2008-2014,2008,2014,13,1,549,154,45.75,2,2,Bangladesh
"Imrul Kayes, Junaid Siddique",2008-2011,2008,2011,15,0,535,160,35.66,1,1,Bangladesh
"Aftab Ahmed, Mohammad Ashraful",2004-2010,2004,2010,24,0,533,76,22.20,0,3,Bangladesh
"Mahmudullah, Nasir Hossain",2011-2017,2011,2017,16,2,528,79,37.71,0,4,Bangladesh
"Shahriar Nafees, Tamim Iqbal",2007-2011,2007,2011,27,0,519,109,19.22,1,1,Bangladesh
"Khaled Mashud, Mohammad Rafique",1995-2006,1995,2006,30,4,504,70*,19.38,0,3,Bangladesh
"Mohammad Ashraful, Raqibul Hasan",2008-2011,2008,2011,15,1,493,141,35.21,1,3,Bangladesh
"Mohammad Ashraful, Shahriar Nafees",2005-2011,2005,2011,15,1,480,130*,34.28,1,2,Bangladesh
"Sabbir Rahman, Tamim Iqbal",2016-2018,2016,2018,10,0,475,140,47.50,2,1,Bangladesh
"Mehrab Hossain jnr, Shahriar Nafees",2006-2007,2006,2007,9,0,463,104,51.44,1,3,Bangladesh
"Akram Khan, Aminul Islam",1988-2000,1988,2000,16,0,451,72,28.18,0,4,Bangladesh
"Javed Omar, Shahriar Nafees",2005-2006,2005,2006,15,0,447,92,29.80,0,2,Bangladesh
"Anamul Haque, Mushfiqur Rahim",2012-2014,2012,2014,9,0,442,174,49.11,2,1,Bangladesh
"Mahmudullah, Soumya Sarkar",2014-2016,2014,2016,9,0,434,135,48.22,1,3,Bangladesh
"Imrul Kayes, Shakib Al Hasan",2010-2017,2010,2017,14,0,432,118,30.85,1,3,Bangladesh
"Mahmudullah, Naeem Islam",2009-2013,2009,2013,13,4,424,69,47.11,0,3,Bangladesh
"Abdur Razzak, Mashrafe Mortaza",2006-2014,2006,2014,22,4,422,53,23.44,0,2,Bangladesh
"Imrul Kayes, Shahriar Nafees",2010-2011,2010,2011,9,0,419,136,46.55,2,1,Bangladesh
"Mushfiqur Rahim, Raqibul Hasan",2008-2011,2008,2011,12,2,417,78,41.70,0,4,Bangladesh
"Aftab Ahmed, Shakib Al Hasan",2006-2010,2006,2010,15,1,416,85*,29.71,0,1,Bangladesh
"Khaled Mahmud, Khaled Mashud",1998-2005,1998,2005,24,0,414,57,17.25,0,1,Bangladesh
"Habibul Bashar, Javed Omar",1995-2007,1995,2007,19,1,410,85,22.77,0,3,Bangladesh
"Mushfiqur Rahim, Sabbir Rahman",2014-2018,2014,2018,13,0,409,119,31.46,1,1,Bangladesh
"Habibul Bashar, Shakib Al Hasan",2006-2007,2006,2007,11,0,402,132,36.54,2,0,Bangladesh
"Sabbir Rahman, Shakib Al Hasan",2015-2017,2015,2017,10,2,388,83,48.50,0,3,Bangladesh
"Mahmudullah, Mashrafe Mortaza",2008-2018,2008,2018,20,2,386,65,21.44,0,1,Bangladesh
"Shahriar Nafees, Shakib Al Hasan",2006-2011,2006,2011,10,2,377,134*,47.12,1,2,Bangladesh
"Raqibul Hasan, Tamim Iqbal",2008-2011,2008,2011,11,0,357,119,32.45,1,0,Bangladesh
"Alok Kapali, Khaled Mashud",2002-2006,2002,2006,12,0,343,89,28.58,0,1,Bangladesh
"Javed Omar, Mohammad Ashraful",2001-2007,2001,2007,15,0,340,125,22.66,1,0,Bangladesh
"Mohammad Ashraful, Rajin Saleh",2004-2006,2004,2006,12,0,313,91,26.08,0,2,Bangladesh
"Imrul Kayes, Mushfiqur Rahim",2010-2017,2010,2017,8,1,310,93,44.28,0,2,Bangladesh
"Anamul Haque, Mominul Haque",2012-2015,2012,2015,11,0,300,64,27.27,0,3,Bangladesh
"Junaid Siddique, Mohammad Ashraful",2008-2010,2008,2010,9,0,296,109,32.88,1,2,Bangladesh
"Aftab Ahmed, Mohammad Rafique",2005-2007,2005,2007,5,1,286,150,71.50,1,1,Bangladesh
"Habibul Bashar, Khaled Mashud",2001-2006,2001,2006,8,1,283,76,40.42,0,4,Bangladesh
"Khaled Mashud, Tushar Imran",2002-2005,2002,2005,11,0,280,90,25.45,0,1,Bangladesh
"Junaid Siddique, Raqibul Hasan",2008-2010,2008,2010,9,0,278,72,30.88,0,2,Bangladesh
"Khaled Mahmud, Mohammad Rafique",1998-2006,1998,2006,18,0,274,31,15.22,0,0,Bangladesh
"Jahurul Islam, Tamim Iqbal",2010-2013,2010,2013,6,0,273,113,45.50,1,1,Bangladesh
"Junaid Siddique, Shakib Al Hasan",2008-2011,2008,2011,8,0,273,107,34.12,1,0,Bangladesh
"Aftab Ahmed, Rajin Saleh",2004-2006,2004,2006,9,0,268,89,29.77,0,2,Bangladesh
"Mehrab Hossain, Shahriar Hossain",1999-1999,1999,1999,7,0,266,170,38.00,1,1,Bangladesh
"Mominul Haque, Mushfiqur Rahim",2012-2014,2012,2014,9,0,265,68,29.44,0,1,Bangladesh
"Mahmudullah, Sabbir Rahman",2014-2017,2014,2017,9,1,261,78,32.62,0,1,Bangladesh
"Mashrafe Mortaza, Shakib Al Hasan",2006-2016,2006,2016,9,0,261,97,29.00,0,1,Bangladesh
"Habibul Bashar, Shahriar Nafees",2005-2007,2005,2007,7,0,248,80,35.42,0,2,Bangladesh
"Imrul Kayes, Mohammad Ashraful",2010-2011,2010,2011,9,0,241,68,26.77,0,2,Bangladesh
"Khaled Mashud, Tapash Baisya",2002-2005,2002,2005,14,2,237,60,19.75,0,2,Bangladesh
"Aftab Ahmed, Mushfiqur Rahim",2007-2010,2007,2010,6,0,233,132,38.83,1,1,Bangladesh
"Mushfiqur Rahim, Nasir Hossain",2011-2018,2011,2018,14,0,226,64,16.14,0,1,Bangladesh
"Naeem Islam, Nasir Hossain",2012-2014,2012,2014,6,0,226,73,37.66,0,3,Bangladesh
"Alok Kapali, Rajin Saleh",2003-2004,2003,2004,9,0,221,128,24.55,1,0,Bangladesh
"Rajin Saleh, Shahriar Nafees",2006-2006,2006,2006,10,0,216,99,21.60,0,1,Bangladesh
"Abdur Razzak, Mahmudullah",2007-2013,2007,2013,17,3,213,56,15.21,0,1,Bangladesh
"Alok Kapali, Sanwar Hossain",2002-2003,2002,2003,8,1,211,66,30.14,0,1,Bangladesh
"Al Sahariar, Javed Omar",2000-2002,2000,2002,10,0,211,103,21.10,1,1,Bangladesh
"Habibul Bashar, Sanwar Hossain",2001-2003,2001,2003,4,0,209,115,52.25,1,1,Bangladesh
"Akram Khan, Naimur Rahman",1995-2001,1995,2001,8,0,206,103,25.75,1,0,Bangladesh
"Javed Omar, Tamim Iqbal",2007-2007,2007,2007,6,0,206,78,34.33,0,2,Bangladesh
"Mahmudullah, Mosaddek Hossain",2016-2017,2016,2017,7,3,204,61,51.00,0,1,Bangladesh
"Farhad Reza, Shakib Al Hasan",2006-2011,2006,2011,6,1,203,65*,40.60,0,2,Bangladesh
"Akram Khan, Habibul Bashar",1997-2003,1997,2003,3,0,199,87,66.33,0,2,Bangladesh
"Khaled Mashud, Mushfiqur Rahman",2003-2004,2003,2004,9,0,196,54,21.77,0,1,Bangladesh
"Khaled Mashud, Mashrafe Mortaza",2001-2006,2001,2006,17,2,194,30,12.93,0,0,Bangladesh
"Mahmudullah, Raqibul Hasan",2008-2011,2008,2011,9,0,193,44,21.44,0,0,Bangladesh
"Mahmudullah, Mohammad Ashraful",2008-2010,2008,2010,5,0,190,95,38.00,0,1,Bangladesh
"Mominul Haque, Shamsur Rahman",2013-2014,2013,2014,3,0,189,79,63.00,0,2,Bangladesh
"Nazimuddin, Tamim Iqbal",2008-2012,2008,2012,9,0,188,68,20.88,0,1,Bangladesh
"Athar Ali Khan, Minhajul Abedin",1988-1998,1988,1998,9,0,187,50,20.77,0,1,Bangladesh
"Alok Kapali, Mohammad Ashraful",2002-2008,2002,2008,11,0,182,46,16.54,0,0,Bangladesh
"Habibul Bashar, Nafees Iqbal",2004-2005,2004,2005,4,0,182,90,45.50,0,1,Bangladesh
"Javed Omar, Mehrab Hossain",2001-2002,2001,2002,5,0,180,88,36.00,0,1,Bangladesh
"Anamul Haque, Imrul Kayes",2014-2014,2014,2014,2,0,178,150,89.00,1,0,Bangladesh
"Javed Omar, Shahriar Hossain",1998-2000,1998,2000,6,0,176,77,29.33,0,2,Bangladesh
"Aftab Ahmed, Javed Omar",2004-2007,2004,2007,9,1,175,93*,21.87,0,1,Bangladesh
"Mashrafe Mortaza, Mohammad Ashraful",2006-2008,2006,2008,8,1,173,79*,24.71,0,2,Bangladesh
"Mohammad Ashraful, Mushfiqur Rahim",2006-2011,2006,2011,10,1,170,58,18.88,0,1,Bangladesh
"Mominul Haque, Nasir Hossain",2012-2014,2012,2014,4,0,170,76,42.50,0,2,Bangladesh
"Khaled Mashud, Mohammad Ashraful",2003-2006,2003,2006,9,1,167,64,20.87,0,1,Bangladesh
"Alok Kapali, Mahmudullah",2008-2011,2008,2011,3,0,166,112,55.33,1,0,Bangladesh
"Nafees Iqbal, Rajin Saleh",2003-2005,2003,2005,9,0,166,58,18.44,0,1,Bangladesh
"Habibul Bashar, Mashrafe Mortaza",2005-2007,2005,2007,7,0,163,51,23.28,0,1,Bangladesh
"Imrul Kayes, Jahurul Islam",2010-2010,2010,2010,2,0,163,83,81.50,0,2,Bangladesh
"Aftab Ahmed, Tamim Iqbal",2007-2010,2007,2010,10,0,160,90,16.00,0,1,Bangladesh
"Aminul Islam, Khaled Mahmud",1998-2002,1998,2002,4,0,160,109,40.00,1,0,Bangladesh
"Naeem Islam, Shakib Al Hasan",2008-2011,2008,2011,11,2,159,31,17.66,0,0,Bangladesh
"Aftab Ahmed, Habibul Bashar",2004-2007,2004,2007,10,1,158,64,17.55,0,1,Bangladesh
"Alok Kapali, Khaled Mahmud",2002-2006,2002,2006,9,0,158,55,17.55,0,1,Bangladesh
"Mashrafe Mortaza, Nasir Hossain",2014-2018,2014,2018,10,0,156,69,15.60,0,1,Bangladesh
"Athar Ali Khan, Mohammad Rafique",1997-1998,1997,1998,4,0,155,137,38.75,1,0,Bangladesh
"Habibul Bashar, Hannan Sarkar",2002-2004,2002,2004,7,0,155,43,22.14,0,0,Bangladesh
"Mushfiqur Rahim, Soumya Sarkar",2015-2017,2015,2017,6,2,154,97*,38.50,0,1,Bangladesh
"Aminul Islam, Habibul Bashar",1997-2000,1997,2000,4,0,152,94,38.00,0,1,Bangladesh
"Junaid Siddique, Mushfiqur Rahim",2008-2011,2008,2011,7,1,152,67,25.33,0,1,Bangladesh
"Mushfiqur Rahim, Shahriar Nafees",2007-2011,2007,2011,6,0,152,100,25.33,1,0,Bangladesh
"Akram Khan, Mehrab Hossain",1999-1999,1999,1999,5,0,151,43,30.20,0,0,Bangladesh
"Habibul Bashar, Mushfiqur Rahim",2006-2007,2006,2007,5,1,151,59,37.75,0,1,Bangladesh
"Mosaddek Hossain, Mushfiqur Rahim",2016-2017,2016,2017,3,2,149,85*,149.00,0,2,Bangladesh
"Khaled Mashud, Manjural Islam Rana",2003-2006,2003,2006,9,1,148,34,18.50,0,0,Bangladesh
"Imrul Kayes, Raqibul Hasan",2010-2011,2010,2011,6,0,146,42,24.33,0,0,Bangladesh
"Nasir Hossain, Sabbir Rahman",2015-2018,2015,2018,5,0,146,50,29.20,0,1,Bangladesh
"Habibul Bashar, Tushar Imran",2002-2007,2002,2007,9,0,144,71,16.00,0,1,Bangladesh
"Javed Omar, Khaled Mashud",2000-2005,2000,2005,5,0,144,57,28.80,0,1,Bangladesh
"Akram Khan, Athar Ali Khan",1988-1997,1988,1997,3,0,139,110,46.33,1,0,Bangladesh
"Akram Khan, Khaled Mashud",1995-2003,1995,2003,11,0,139,51,12.63,0,1,Bangladesh
"Akram Khan, Minhajul Abedin",1995-1999,1995,1999,6,0,139,38,23.16,0,0,Bangladesh
"Mashrafe Mortaza, Mushfiqur Rahim",2007-2015,2007,2015,7,1,139,58,23.16,0,1,Bangladesh
"Hannan Sarkar, Manjural Islam Rana",2004-2004,2004,2004,2,0,137,105,68.50,1,0,Bangladesh
"Khaled Mashud, Naimur Rahman",1998-2002,1998,2002,7,0,137,71,19.57,0,1,Bangladesh
"Liton Das, Soumya Sarkar",2015-2017,2015,2017,5,0,137,54,27.40,0,2,Bangladesh
"Dhiman Ghosh, Mahmudullah",2008-2008,2008,2008,3,1,135,75,67.50,0,2,Bangladesh
"Imrul Kayes, Sabbir Rahman",2015-2016,2015,2016,3,0,135,75,45.00,0,1,Bangladesh
"Enamul Haque, Khaled Mashud",1995-2002,1995,2002,7,0,132,85,18.85,0,1,Bangladesh
"Manjural Islam Rana, Mohammad Ashraful",2004-2005,2004,2005,4,0,132,100,33.00,1,0,Bangladesh
"Athar Ali Khan, Faruk Ahmed",1990-1990,1990,1990,2,0,131,108,65.50,1,0,Bangladesh
"Al Sahariar, Mohammad Ashraful",2001-2003,2001,2003,7,0,129,38,18.42,0,0,Bangladesh
"Imrul Kayes, Mahmudullah",2010-2016,2010,2016,6,0,127,50,21.16,0,1,Bangladesh
"Mehrab Hossain, Naimur Rahman",1999-1999,1999,1999,3,0,125,85,41.66,0,1,Bangladesh
"Shakib Al Hasan, Soumya Sarkar",2015-2017,2015,2017,4,1,125,77,41.66,0,1,Bangladesh
"Abdur Razzak, Naeem Islam",2008-2011,2008,2011,8,2,123,46,20.50,0,0,Bangladesh
"Alok Kapali, Hannan Sarkar",2003-2004,2003,2004,4,0,123,95,30.75,0,1,Bangladesh
"Al Sahariar, Khaled Mashud",1999-1999,1999,1999,1,1,123,123*,-,1,0,Bangladesh
"Abdur Razzak, Nasir Hossain",2011-2013,2011,2013,4,1,122,65,40.66,0,1,Bangladesh
"Alok Kapali, Mushfiqur Rahim",2008-2011,2008,2011,4,0,122,49,30.50,0,0,Bangladesh
"Mahmudullah, Sohag Gazi",2012-2013,2012,2013,4,0,122,48,30.50,0,0,Bangladesh
"Aminul Islam, Enamul Haque",1990-1999,1990,1999,4,2,121,48,60.50,0,0,Bangladesh
"Anamul Haque, Shamsur Rahman",2014-2014,2014,2014,7,0,121,74,17.28,0,1,Bangladesh
"Hannan Sarkar, Rajin Saleh",2003-2004,2003,2004,5,0,121,50,24.20,0,1,Bangladesh
"Abdur Razzak, Shakib Al Hasan",2006-2012,2006,2012,7,1,120,38,20.00,0,0,Bangladesh
"Aminul Islam, Naimur Rahman",1997-2000,1997,2000,6,1,118,71,23.60,0,1,Bangladesh
"Aminul Islam, Minhajul Abedin",1988-1999,1988,1999,9,0,116,42,12.88,0,0,Bangladesh
"Nasir Hossain, Tamim Iqbal",2012-2014,2012,2014,4,0,116,75,29.00,0,1,Bangladesh
"Aminul Islam, Athar Ali Khan",1990-1998,1990,1998,5,0,115,48,23.00,0,0,Bangladesh
"Khaled Mashud, Rajin Saleh",2004-2004,2004,2004,3,0,115,57,38.33,0,1,Bangladesh
"Naeem Islam, Tamim Iqbal",2009-2012,2009,2012,5,0,115,63,23.00,0,1,Bangladesh
"Nasir Hossain, Sohag Gazi",2012-2014,2012,2014,7,2,114,37,22.80,0,0,Bangladesh
"Farhad Reza, Khaled Mashud",2006-2006,2006,2006,4,0,111,71,27.75,0,1,Bangladesh
"Javed Omar, Tushar Imran",2002-2006,2002,2006,5,0,110,70,22.00,0,1,Bangladesh
"Javed Omar, Shakib Al Hasan",2007-2007,2007,2007,2,0,109,107,54.50,1,0,Bangladesh
"Mohammad Rafique, Tapash Baisya",2002-2005,2002,2005,7,2,108,28,21.60,0,0,Bangladesh
"Manjural Islam Rana, Mohammad Rafique",2003-2006,2003,2006,7,1,107,39,17.83,0,0,Bangladesh
"Alok Kapali, Habibul Bashar",2002-2006,2002,2006,8,0,106,25,13.25,0,0,Bangladesh
"Abdur Razzak, Shahadat Hossain",2006-2008,2006,2008,11,3,103,32,12.87,0,0,Bangladesh
"Aftab Ahmed, Nafees Iqbal",2004-2005,2004,2005,3,0,103,71,34.33,0,1,Bangladesh
"Mahmudullah, Shafiul Islam",2011-2016,2011,2016,3,2,103,58*,103.00,0,1,Bangladesh
"Javed Omar, Rajin Saleh",2004-2006,2004,2006,6,0,99,45,16.50,0,0,Bangladesh
"Sabbir Rahman, Soumya Sarkar",2017-2017,2017,2017,4,0,99,76,24.75,0,1,Bangladesh
"Aftab Ahmed, Mehrab Hossain jnr",2006-2007,2006,2007,5,0,98,48,19.60,0,0,Bangladesh
"Javed Omar, Naimur Rahman",2000-2001,2000,2001,3,0,98,64,32.66,0,1,Bangladesh
"Khaled Mahmud, Naimur Rahman",1998-1999,1998,1999,5,0,98,56,19.60,0,1,Bangladesh
